REF_DATE,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1956-01,Canada,2016A000011124,Flavouring syrups and extracts (except for beverages) [183412],"Index, 2010=100",184,units ,0,v79309273,1.137,,..,,,1
1956-01,Canada,2016A000011124,"Vinegar, mayonnaise, non-tomato sauces, salt, spices and sauce mixes [18342]","Index, 2010=100",184,units ,0,v79309274,1.138,,..,,,1
1956-01,Canada,2016A000011124,"Vinegar, mayonnaise, dressings, non-tomato sauces, and spreads [183421]","Index, 2010=100",184,units ,0,v79309275,1.139,,..,,,1
1956-01,Canada,2016A000011124,"Table salt, spices, extracts, and sauce mixes [183422]","Index, 2010=100",184,units ,0,v79309276,1.14,,..,,,1
1956-01,Canada,2016A000011124,"Ketchup, canned tomato sauces, and preserved fruit and vegetables [18351]","Index, 2010=100",184,units ,0,v79309277,1.141,,..,,,1
1956-01,Canada,2016A000011124,"Ketchup, canned tomato based sauces and pastes, pickles and other pickled products [183511]","Index, 2010=100",184,units ,0,v79309278,1.142,,..,,,1
1956-01,Canada,2016A000011124,"Canned preserves, infant foods, and specialty foods [183512]","Index, 2010=100",184,units ,0,v79309279,1.143,,..,,,1
1956-01,Canada,2016A000011124,Canned soups and stews (except seafood) [183513],"Index, 2010=100",184,units ,0,v79309280,1.144,,..,,,1
1956-01,Canada,2016A000011124,Canned vegetables and mushrooms (except infant foods) [183514],"Index, 2010=100",184,units ,0,v79309281,1.145,,..,,,1
1956-01,Canada,2016A000011124,Canned fruit (except infant foods) [183515],"Index, 2010=100",184,units ,0,v79309282,1.146,,..,,,1
1956-01,Canada,2016A000011124,"Dried fruit, vegetables, soup mixes, and bouillon [183516]","Index, 2010=100",184,units ,0,v79309283,1.147,,..,,,1
1956-01,Canada,2016A000011124,"Frozen foods, not elsewhere classified [18352]","Index, 2010=100",184,units ,0,v79309284,1.148,,..,,,1
1956-01,Canada,2016A000011124,Frozen vegetables [183521],"Index, 2010=100",184,units ,0,v79309285,1.149,,..,,,1
1956-01,Canada,2016A000011124,Frozen fruit [183522],"Index, 2010=100",184,units ,0,v79309286,1.15,,..,,,1
1956-01,Canada,2016A000011124,"Frozen dinners and frozen foods, not elsewhere classified [183523]","Index, 2010=100",184,units ,0,v79309287,1.151,,..,,,1
1956-01,Canada,2016A000011124,"Other food products, not elsewhere classified [18361]","Index, 2010=100",184,units ,0,v79309288,1.152,,..,,,1
1956-01,Canada,2016A000011124,Peanut butter [183611],"Index, 2010=100",184,units ,0,v79309289,1.153,,..,,,1
